country,Country Code,2017,2018
Aruba,ABW,25630.26649,
Afghanistan,AFG,556.3021385,520.8966027
Angola,AGO,4095.812942,3432.385736
Albania,ALB,4532.889198,5253.630064
Andorra,AND,39134.39337,42029.76274
Arab World,ARB,6285.215228,6626.135357
United Arab Emirates,ARE,40325.382,43004.94865
Argentina,ARG,14591.86338,11652.56629
Armenia,ARM,3914.501268,4212.070943
American Samoa,ASM,11398.77742,
Antigua and Barbuda,ATG,15824.66781,16864.38336
Australia,AUS,54093.60219,57305.29902
Austria,AUT,47380.82964,51512.90548
Azerbaijan,AZE,4147.089716,4721.178087
Burundi,BDI,293.009062,275.4296033
Belgium,BEL,43507.2382,46556.09957
Benin,BEN,827.4298101,901.9540522
Burkina Faso,BFA,642.0404265,731.171717
Bangladesh,BGD,1563.994082,1698.262802
Bulgaria,BGR,8228.01157,9272.629304
Bahrain,BHR,23715.48275,24050.75751
"Bahamas, The",BHS,31857.89015,
Bosnia and Herzegovina,BIH,5394.59122,5951.323299
Belarus,BLR,5761.74712,6289.938553
Belize,BLZ,4956.808039,5025.1781
Bermuda,BMU,,
Bolivia,BOL,3351.124053,3548.59014
Brazil,BRA,9880.946543,8920.762105
Barbados,BRB,16327.60723,
Brunei Darussalam,BRN,28572.10942,31627.74208
Bhutan,BTN,3390.714075,3360.266867
Botswana,BWA,7893.675933,8258.641666
Central African Republic,CAF,471.6032278,509.9709748
Canada,CAN,45069.92725,46210.54762
Central Europe and the Baltics,CEB,14167.6491,15913.23168
Switzerland,CHE,80333.44494,82838.92944
Channel Islands,CHI,,
Chile,CHL,15037.35011,15923.35906
China,CHN,8759.041578,9770.847088
Cote d'Ivoire,CIV,1557.182948,1715.531238
Cameroon,CMR,1421.587492,1526.875713
"Congo, Dem. Rep.",COD,467.0742375,561.7771824
"Congo, Rep.",COG,1702.571349,2147.769461
Colombia,COL,6375.932063,6651.291293
Comoros,COM,1312.366174,1445.450809
Cabo Verde,CPV,3295.341106,3654.007345
Costa Rica,CRI,11752.5436,12026.54753
Caribbean small states,CSS,9442.912794,9910.397885
Cuba,CUB,8541.210673,
Curacao,CUW,19457.53152,
Cayman Islands,CYM,56334.21399,
Cyprus,CYP,25760.7627,28159.3017
Czech Republic,CZE,20379.89604,23078.57349
Germany,DEU,44681.08258,48195.5799
Djibouti,DJI,1953.903502,2050.204732
Dominica,DMA,6951.303542,7031.709754
Denmark,DNK,57218.85485,60726.46654
Dominican Republic,DOM,7222.554044,7650.072753
Algeria,DZA,4048.285258,4278.85006
East Asia & Pacific (excluding high income),EAP,7081.776379,7820.71228
Early-demographic dividend,EAR,3545.022221,3581.455983
East Asia & Pacific,EAS,10332.83226,11132.22966
Europe & Central Asia (excluding high income),ECA,7979.76034,8125.769061
Europe & Central Asia,ECS,23517.20535,25077.98448
Ecuador,ECU,6213.501276,6344.871979
"Egypt, Arab Rep.",EGY,2440.510173,2549.139458
Euro area,EMU,37047.77561,40012.50166
Eritrea,ERI,,
Spain,ESP,28208.26105,30523.85924
Estonia,EST,20200.37559,22927.74442
Ethiopia,ETH,768.0104163,772.3122278
European Union,EUU,33873.285,36546.39969
Fragile and conflict affected situations,FCS,1646.063393,1615.771362
Finland,FIN,45809.97338,49648.14926
Fiji,FJI,6006.360622,6202.162267
France,FRA,38679.12715,41463.64402
Faroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,3018.396899,3058.431818
Gabon,GAB,7212.535744,8029.822384
United Kingdom,GBR,39932.06029,42491.36444
Georgia,GEO,4045.41705,4344.630952
Ghana,GHA,2025.885857,2202.312165
Gibraltar,GIB,,
Guinea,GIN,821.6514609,885.2512282
"Gambia, The",GMB,672.7805341,712.4523977
Guinea-Bissau,GNB,736.7255662,777.9699218
Equatorial Guinea,GNQ,9738.434224,10173.96302
Greece,GRC,18883.46007,20324.25356
Grenada,GRD,10163.62985,10833.65833
Greenland,GRL,,
Guatemala,GTM,4470.610798,4549.010081
Guam,GUM,35664.50168,
Guyana,GUY,4586.054572,4634.681335
High income,HIC,42350.05631,44714.74107
"Hong Kong SAR, China",HKG,46220.50455,48717.29121
Honduras,HND,2432.935364,2482.730206
Heavily indebted poor countries (HIPC),HPC,991.9852918,932.0983588
Croatia,HRV,13383.6835,14869.09068
Haiti,HTI,765.6139847,868.2847996
Hungary,HUN,14278.8745,15938.8368
IBRD only,IBD,6052.038611,6383.675952
IDA & IBRD total,IBT,4859.047841,5094.780612
IDA total,IDA,1345.833462,1350.091506
IDA blend,IDB,1733.460499,1783.299056
Indonesia,IDN,3836.913814,3893.596078
IDA only,IDX,1148.309578,1127.132559
Isle of Man,IMN,,
India,IND,1981.499045,2015.590485
Not classified,INX,,
Ireland,IRL,69649.88274,78806.432
"Iran, Islamic Rep.",IRN,5627.749268,
Iraq,IRQ,5143.661232,5878.038566
Iceland,ISL,71314.7742,73201.70255
Israel,ISR,40543.58417,41613.99808
Italy,ITA,32155.20587,34318.35112
Jamaica,JAM,5060.544924,5355.582639
Jordan,JOR,4168.641604,4247.768726
Japan,JPN,38331.9794,39286.73765
Kazakhstan,KAZ,9030.318806,9331.04695
Kenya,KEN,1568.201541,1710.510097
Kyrgyz Republic,KGZ,1242.769643,1281.363661
Cambodia,KHM,1385.25998,1512.12671
Kiribati,KIR,1625.57597,1625.2861
St. Kitts and Nevis,KNA,19060.57072,19829.42832
"Korea, Rep.",KOR,29742.83886,31362.75147
Kuwait,KWT,29474.54143,34243.95291
Latin America & Caribbean (excluding high income),LAC,8959.802025,8527.550215
Lao PDR,LAO,2423.846203,2567.543217
Lebanon,LBN,7838.343385,8269.787676
Liberia,LBR,698.7017644,674.2094847
Libya,LBY,5792.06511,7235.028115
St. Lucia,LCA,10003.25987,10315.02608
Latin America & Caribbean,LCN,9397.620709,9023.504823
Least developed countries: UN classification,LDC,1093.811323,1043.055789
Low income,LIC,767.8929041,812.7803431
Liechtenstein,LIE,,
Sri Lanka,LKA,4104.630983,4102.48135
Lower middle income,LMC,2187.498829,2218.899749
Low & middle income,LMY,4743.185613,4967.882744
Lesotho,LSO,1232.786919,1324.282768
Late-demographic dividend,LTE,8944.752137,9686.991724
Lithuania,LTU,16809.64826,19089.70751
Luxembourg,LUX,104498.7387,114340.4987
Latvia,LVA,15684.55852,18088.92725
"Macao SAR, China",MAC,81208.88207,86355.40765
St. Martin (French part),MAF,,
Morocco,MAR,3036.171062,3237.883368
Monaco,MCO,166726.0519,
Moldova,MDA,2724.493093,3189.355812
Madagascar,MDG,448.4007965,460.7527808
Maldives,MDV,9801.624542,10223.63649
Middle East & North Africa,MEA,7422.027903,8056.950437
Mexico,MEX,9281.101483,9698.084187
Marshall Islands,MHL,3516.71432,3621.174095
Middle income,MIC,5229.031764,5483.972023
North Macedonia,MKD,5417.642019,6083.718948
Mali,MLI,828.6132202,901.4031007
Malta,MLT,27241.09064,30074.74119
Myanmar,MMR,1249.828757,1325.952924
Middle East & North Africa (excluding high income),MNA,3817.686174,
Montenegro,MNE,7784.06529,8760.692286
Mongolia,MNG,3671.948419,4103.697493
Northern Mariana Islands,MNP,28163.78487,
Mozambique,MOZ,441.6178369,490.1675823
Mauritania,MRT,1161.785457,1218.59641
Mauritius,MUS,10484.90836,11238.69039
Malawi,MWI,356.7175732,389.3980332
Malaysia,MYS,10117.56903,11238.95737
North America,NAC,58434.03088,60976.80192
Namibia,NAM,5646.456007,5931.453885
New Caledonia,NCL,,
Niger,NER,375.8694897,411.6889425
Nigeria,NGA,1968.559588,2028.18197
Nicaragua,NIC,2168.19124,2028.896891
Netherlands,NLD,48554.99228,53024.05921
Norway,NOR,75704.2487,81807.19804
Nepal,NPL,900.5739036,1025.798356
Nauru,NRU,8844.41715,9030.071064
New Zealand,NZL,42260.12518,41966.00918
OECD members,OED,38411.37254,40359.76391
Oman,OMN,15170.35174,16418.92693
Other small states,OSS,13422.24394,14682.01353
Pakistan,PAK,1466.843096,1472.893134
Panama,PAN,15166.12443,15575.07255
Peru,PER,6700.81138,6947.256627
Philippines,PHL,2981.934151,3102.713363
Palau,PLW,16274.90454,17317.87262
Papua New Guinea,PNG,2640.153572,2722.604679
Poland,POL,13861.05156,15424.04603
Pre-demographic dividend,PRE,1458.126344,1427.934483
Puerto Rico,PRI,31353.43418,31651.34815
"Korea, Dem. People’s Rep.",PRK,,
Portugal,PRT,21291.43099,23145.73496
Paraguay,PRY,5680.580768,5871.467064
West Bank and Gaza,PSE,3254.485887,3198.866644
Pacific island small states,PSS,4080.526197,4192.618455
Post-demographic dividend,PST,42725.2277,45070.10927
French Polynesia,PYF,,
Qatar,QAT,61264.39648,69026.4688
Romania,ROU,10792.95628,12301.1864
Russian Federation,RUS,10750.58712,11288.87244
Rwanda,RWA,762.4991636,772.9678384
South Asia,SAS,1867.272248,1905.76641
Saudi Arabia,SAU,20803.74257,23219.13048
Sudan,SDN,3015.02443,977.2736357
Senegal,SEN,1367.218948,1521.953554
Singapore,SGP,60297.79378,64581.94402
Solomon Islands,SLB,2077.126038,2162.651804
Sierra Leone,SLE,499.3807078,522.8581284
El Salvador,SLV,3902.237622,4058.244652
San Marino,SMR,48494.55141,
Somalia,SOM,309.066059,314.5623635
Serbia,SRB,6284.192672,7233.995874
Sub-Saharan Africa (excluding high income),SSA,1598.050477,1572.86396
South Sudan,SSD,,
Sub-Saharan Africa,SSF,1599.336187,1574.197871
Small states,SST,12125.16296,13202.51903
Sao Tome and Principe,STP,1811.009633,2001.140902
Suriname,SUR,5379.119415,5950.213947
Slovak Republic,SVK,17579.2594,19546.9019
Slovenia,SVN,23449.57452,26234.0229
Sweden,SWE,53253.47664,54111.97217
Eswatini,SWZ,3941.900457,4139.961949
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,15683.6565,16433.93529
Syrian Arab Republic,SYR,,
Turks and Caicos Islands,TCA,25933.60744,27142.2278
Chad,TCD,664.3033157,730.2446076
East Asia & Pacific (IDA & IBRD countries),TEA,7156.320319,7902.849346
Europe & Central Asia (IDA & IBRD countries),TEC,8516.291877,8788.47217
Togo,TGO,619.066371,671.8406876
Thailand,THA,6578.188865,7273.563207
Tajikistan,TJK,806.0415731,826.6215305
Turkmenistan,TKM,6587.090316,6966.635411
Latin America & the Caribbean (IDA & IBRD countries),TLA,9253.666484,8881.077105
Timor-Leste,TLS,2000.601191,2035.533908
Middle East & North Africa (IDA & IBRD countries),TMN,3823.8332,
Tonga,TON,4217.476507,4364.015561
South Asia (IDA & IBRD),TSA,1867.272248,1905.76641
Sub-Saharan Africa (IDA & IBRD countries),TSS,1599.336187,1574.197871
Trinidad and Tobago,TTO,16076.08204,16843.70161
Tunisia,TUN,3494.318864,3446.607238
Turkey,TUR,10499.74557,9311.366117
Tuvalu,TUV,3572.608367,3700.710677
Tanzania,TZA,1004.841121,1050.675254
Uganda,UGA,631.5227198,643.1396702
Ukraine,UKR,2640.675677,3095.173581
Upper middle income,UMC,8663.27389,9200.453954
Uruguay,URY,16437.24487,17277.97011
United States,USA,59927.92983,62641.01457
Uzbekistan,UZB,1826.56704,1532.371639
St. Vincent and the Grenadines,VCT,7149.630866,7377.678832
"Venezuela, RB",VEN,,
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,35938.02439,
Vietnam,VNM,2365.621666,2563.820731
Vanuatu,VUT,2976.107116,3033.408146
World,WLD,10769.67711,11298.30371
Samoa,WSM,4307.805464,4392.467755
Kosovo,XKX,3948.08815,4281.292329
"Yemen, Rep.",YEM,963.494721,944.4084994
South Africa,ZAF,6127.462297,6374.015446
Zambia,ZMB,1534.865371,1539.900158
Zimbabwe,ZWE,1602.403507,2146.996385